round,generator_timesteps,generated_transitions,discriminator_loss,discriminator_accuracy,validation_success_rate,validation_mean_success_steps,selected
1,4096,8379,0.6934504443407059,0.553525390625,93.33333333333333,251.85714285714286,True
2,8192,8375,0.7178154200315475,0.543046875,76.66666666666667,290.0869565217391,False
3,12288,8265,0.7237009257078171,0.56806640625,66.66666666666667,284.15,False
4,16384,8298,0.7205577528476715,0.5496484375,90.0,296.0,False
5,20480,8302,0.6976058691740036,0.587939453125,70.0,335.5238095238095,False
6,24576,8570,0.7301264077425003,0.549111328125,70.0,280.23809523809524,False
