policy,observation_condition,physical_condition,seed,success,steps,path_length,collisions,tortuosity,actual_odor_detection_percentage,final_distance_to_source
ppo_normal,unmasked,normal,5000,True,108,15.840000000000003,0,1.0939150783310934,55.55555555555556,0.44370460668319417
ppo_normal,unmasked,normal,5001,True,184,25.759999999999994,0,1.7899389474254757,73.36956521739131,0.4029580174451865
ppo_normal,unmasked,normal,5002,True,108,15.2,0,1.1098731003203823,48.148148148148145,0.40312022271607284
ppo_normal,unmasked,normal,5003,True,193,26.55999999999998,0,1.8626915913908386,73.05699481865285,0.3813308208067805
ppo_normal,unmasked,normal,5004,True,124,15.679999999999998,0,1.0942967961479313,53.2258064516129,0.41657188223619845
ppo_normal,unmasked,normal,5005,True,167,23.520000000000014,0,1.7042761540136973,66.46706586826348,0.36617402145217776
ppo_normal,unmasked,normal,5006,True,116,16.319999999999993,0,1.1316303779518537,53.44827586206896,0.4417868571487077
ppo_normal,unmasked,normal,5007,True,122,16.960000000000004,0,1.1734840393797883,54.91803278688525,0.43128731514139035
ppo_normal,unmasked,normal,5008,True,111,15.679999999999971,0,1.0922796201932115,55.85585585585585,0.41397528541615897
ppo_normal,unmasked,normal,5009,True,181,25.599999999999994,0,1.8732922748986682,70.1657458563536,0.4027645680993171
ppo_normal,unmasked,normal,5010,True,365,52.31999999999998,0,3.703878301813977,84.93150684931507,0.322838777464345
ppo_normal,unmasked,normal,5011,True,121,15.99999999999999,0,1.1092538163896464,52.892561983471076,0.41840335283090613
ppo_normal,unmasked,normal,5012,True,111,15.519999999999996,0,1.0809810729483436,54.054054054054056,0.40535490199989055
ppo_normal,unmasked,normal,5013,True,120,16.96,0,1.17537586200118,52.5,0.3763719480311667
ppo_normal,unmasked,normal,5014,True,212,31.360000000000014,0,2.2938104441012195,76.41509433962264,0.38629551043764815
ppo_normal,unmasked,normal,5015,True,101,14.879999999999999,0,1.0602990670112467,50.495049504950494,0.41035175834045423
ppo_normal,unmasked,normal,5016,True,121,15.840000000000009,0,1.0910408605055895,55.371900826446286,0.414993702451202
