controller,condition,seed,success,steps,path_length,collisions,tortuosity,odor_detection_percentage,final_distance_to_source,total_reward
rl,normal,2000,True,167,25.119999999999976,0,1.7477389931037497,50.29940119760479,0.38331418203406215,57.348396560003046
rl,normal,2001,True,410,56.8,0,3.938286914061686,88.04878048780488,0.44811381593159544,57.67117370211636
rl,normal,2002,False,600,18.879999999999985,0,1.2801670825130376,66.5,2.020401704440747,5.250219532014765
rl,normal,2003,True,98,15.520000000000007,0,1.131090523280522,45.91836734693878,0.4458825491668955,57.652134666998535
rl,normal,2004,True,103,16.160000000000004,0,1.1880556809954408,52.42718446601942,0.43956071027249133,57.66124000046882
rl,normal,2005,True,414,58.88000000000001,0,4.22654941897565,88.16425120772948,0.42469206138502086,57.65527395627407
rl,normal,2006,True,107,16.160000000000007,0,1.1289896409681677,51.4018691588785,0.42890183237409624,57.62385520044607
rl,normal,2007,True,112,17.439999999999987,0,1.2079380193175855,55.35714285714286,0.43782883265653033,57.63741017854527
rl,normal,2008,True,197,29.759999999999984,0,2.063518014142758,74.61928934010153,0.41059494561127596,57.665490046495464
rl,normal,2009,True,95,14.880000000000024,0,1.0888881838500766,48.421052631578945,0.3619067190478436,57.696384385985205
rl,normal,2010,True,186,28.16,0,2.0656030209904253,73.11827956989248,0.42015020782373347,57.65034715346349
rl,normal,2011,True,104,15.680000000000003,0,1.0866637171229443,53.84615384615385,0.40608191848585595,57.69742884177593
rl,normal,2012,True,96,15.040000000000003,0,1.070124605977009,47.91666666666667,0.4010718967260226,57.72157381776659
rl,normal,2013,True,134,19.839999999999982,0,1.3739727987000412,64.17910447761194,0.4438819389294319,57.67309757059162
rl,normal,2014,True,103,16.000000000000007,0,1.1225429319043925,49.51456310679612,0.3857928052624152,57.66424790047785
rl,normal,2015,True,92,14.40000000000001,0,1.0515537820168033,46.73913043478261,0.35026688050202204,57.72622054993859
rl,normal,2016,True,397,55.84,0,4.083525486173616,87.40554156171285,0.4018500710032556,57.6676980787854
rl,normal,2017,True,480,65.11999999999999,0,4.7697317116135025,89.79166666666667,0.38855877058145594,57.67727908522509
rl,normal,2018,True,175,24.959999999999994,0,1.7969276599379358,71.42857142857143,0.401793950759443,57.69412468925876
rl,normal,2019,True,94,14.87999999999999,0,1.0772967047142352,45.744680851063826,0.435275020580661,57.629979801695086
rl,normal,2020,True,372,47.83999999999999,0,3.3389401045102516,87.09677419354838,0.3993670150524002,57.680450316247665
rl,normal,2021,False,600,6.079999999999998,0,1.2596763965793747,0.0,10.740706874106554,-3.977892874668919
rl,normal,2022,True,92,14.56000000000001,0,1.0597126175972043,46.73913043478261,0.4310699107368428,57.7079640416476
rl,normal,2023,True,93,14.560000000000013,0,1.066684349163714,48.38709677419355,0.3998267030423832,57.706856953570636
rl,normal,2024,True,101,15.680000000000003,0,1.084376103455222,51.48514851485149,0.4141173124614847,57.68946415807461
rl,normal,2025,True,113,16.639999999999997,0,1.172286929414228,55.75221238938053,0.3574446805309082,57.69030499103052
rl,normal,2026,True,94,14.880000000000011,0,1.0874706297140082,46.808510638297875,0.43737138195421854,57.64428615812428
rl,normal,2027,True,104,15.68000000000001,0,1.1123771303797265,52.88461538461539,0.3097674023447586,57.72860332988925
rl,normal,2028,True,108,16.159999999999997,0,1.1215557077981542,51.85185185185185,0.4302458308798135,57.624789158591824
rl,normal,2029,True,102,15.680000000000007,0,1.0821889646081577,51.9607843137255,0.4104065802095788,57.73649150641292
rl,normal,2030,True,321,46.399999999999984,0,3.2133110724286995,82.55451713395638,0.4283982527824538,57.61502030846604
rl,normal,2031,True,93,14.72,0,1.0664179514941663,47.31182795698925,0.40290251025799,57.668566596557845
rl,normal,2032,True,101,15.68,0,1.0982955420118792,49.504950495049506,0.4383420400222107,57.63131478482315
rl,normal,2033,False,600,7.679999999999987,0,1.419291979427999,0.0,10.766602891062822,-4.048975639133716
rl,normal,2034,True,147,21.12,0,1.4584814961919492,63.26530612244898,0.4406925616276965,57.62442719269475
rl,normal,2035,True,166,25.28000000000001,0,1.8344668950917011,69.27710843373494,0.3790559289978648,57.6959499983778
rl,normal,2036,True,172,25.280000000000012,0,1.8073515760588714,72.09302325581395,0.4069201943579496,57.67904934248695
rl,normal,2037,True,93,14.719999999999995,0,1.0689373360362826,47.31182795698925,0.308568576877784,57.73708138843272
rl,normal,2038,True,145,20.799999999999994,0,1.511232901310671,14.482758620689657,0.42193219467493287,56.98708020063512
rl,normal,2039,True,162,24.320000000000036,0,1.7386675447023667,12.962962962962962,0.4256454658499929,56.79308433580144
rl,normal,2040,True,572,22.40000000000001,0,1.629150257847878,76.57342657342657,0.42386328054375483,56.81497291612776
rl,normal,2041,True,269,33.279999999999994,0,2.301266639421306,52.41635687732342,0.43919508145682407,56.89717648409514
rl,normal,2042,True,105,15.840000000000016,0,1.101444224973331,54.285714285714285,0.36072208791285076,57.71820843329844
rl,normal,2043,True,95,14.88,0,1.0866274033230845,48.421052631578945,0.41366696875834813,57.665314026044776
rl,normal,2044,True,225,27.680000000000007,0,1.928942604178005,44.0,0.40530607933988294,56.94545829442762
rl,normal,2045,True,187,28.480000000000008,0,2.086679332527942,73.79679144385027,0.36039805318987156,57.69384793521978
rl,normal,2046,True,96,15.040000000000028,0,1.064627609838371,48.95833333333333,0.4061372964216656,57.73974573498022
rl,normal,2047,True,208,29.92000000000001,0,2.082732598006545,75.96153846153845,0.4017218775061543,57.65934268616832
rl,normal,2048,True,158,23.84000000000004,0,1.6528424231594336,48.10126582278481,0.3665363573234046,57.410427349684824
rl,normal,2049,True,167,24.79999999999998,0,1.739327956168869,70.05988023952095,0.4114652866072738,57.65442760349024
