policy,episodes,success_rate,success_ci95_low,success_ci95_high,mean_success_steps,mean_collisions
moth,50,88.0,76.19518261679701,94.38239984906774,257.97727272727275,61.98
bc,50,82.0,69.20394632569922,90.22980732976582,254.2439024390244,86.84
airl,50,92.0,81.16175308165717,96.84504859114071,257.54347826086956,33.1
ppo_normal,50,100.0,92.86524008666413,100.0,134.02,0.0
ppo_robust,50,78.0,64.75845041874634,87.24608402978559,159.53846153846155,0.0
