policy,observation_condition,episodes,success_rate,success_ci95_low,success_ci95_high,mean_success_steps,mean_path_length,mean_actual_odor_detection_percentage
ppo_normal,odor_blind,50,16.0,8.337420678033403,28.514216063034993,96.0,13.961599999999999,55.04785629640427
ppo_normal,unmasked,50,100.0,92.86524008666413,100.0,154.52,21.209599999999995,61.17970311210479
ppo_robust,odor_blind,50,50.0,36.64451431682858,63.35548568317142,309.08,48.7616,19.052849266248696
ppo_robust,unmasked,50,68.0,54.18970269185592,79.24178373934316,196.61764705882354,20.3296,33.56352170268625
