controller,condition,seed,success,steps,path_length,collisions,tortuosity,odor_detection_percentage,final_distance_to_source
random,normal,3000,False,600,28.000000000000036,123,3.947958730419276,5.666666666666666,10.277456282259745
random,normal,3001,False,600,50.39999999999999,8,12.530701569174733,48.16666666666667,17.196311247692922
random,normal,3002,False,600,39.999999999999964,46,7.717607536204919,22.833333333333332,15.47172551805695
random,normal,3003,False,600,32.48000000000001,97,9.702397445686865,12.0,10.996934907363999
random,normal,3004,False,600,45.119999999999976,10,8.188190539116144,73.5,8.962268914277837
random,normal,3005,False,600,41.92,38,9.219555994657059,46.0,11.49598022818571
random,normal,3006,False,600,39.35999999999999,30,5.81099281292144,18.5,9.879985263982686
random,normal,3007,False,600,48.479999999999976,7,12.340003900358134,43.833333333333336,16.12214968985176
random,normal,3008,False,600,39.67999999999998,55,5.930470943428634,33.666666666666664,7.324226311624301
random,normal,3009,False,600,32.16000000000002,99,4.639068952271555,12.5,17.730730003998875
random,normal,3010,False,600,40.480000000000004,60,4.569948541916264,6.333333333333334,8.376370291182846
random,normal,3011,False,600,39.519999999999996,69,2.4685115726155837,16.666666666666664,3.1112370261699716
random,normal,3012,False,600,37.92,52,7.1237160296805575,43.833333333333336,8.774422490711707
random,normal,3013,False,600,46.88000000000001,26,37.82938824135913,71.5,13.154771121833406
random,normal,3014,False,600,45.120000000000005,28,9.24786847975745,34.0,11.471337065857625
random,normal,3015,False,600,44.0,34,9.115151808729665,18.0,16.41904920436608
random,normal,3016,False,600,44.79999999999998,21,4.383165899490697,47.66666666666667,4.016860023659778
random,normal,3017,False,600,39.68000000000005,52,4.321581467131666,12.5,9.174731797019819
random,normal,3018,False,600,36.32000000000002,48,5.42857597485839,66.16666666666666,7.428620176034677
random,normal,3019,False,600,45.76000000000003,11,20.091355354928737,61.33333333333333,16.386205809294008
random,normal,3020,False,600,40.480000000000004,66,9.688019415349977,35.16666666666667,17.2176658314559
random,normal,3021,False,600,44.79999999999998,20,7.0944669718654065,49.5,10.66066980108224
random,normal,3022,False,600,39.67999999999999,48,10.811348536474986,76.66666666666667,17.18871488521431
random,normal,3023,False,600,43.04000000000003,39,10.934843403272636,15.0,17.219445218943086
random,normal,3024,False,600,31.839999999999986,103,3.6906217147977225,6.833333333333333,9.04869710029249
random,normal,3025,True,421,33.6,13,2.335364217293362,7.363420427553444,0.391569862535554
random,normal,3026,False,600,42.079999999999984,37,7.152888070814991,63.33333333333333,13.429799207023928
random,normal,3027,False,600,41.28,12,6.302122487016726,53.833333333333336,17.3635648717916
random,normal,3028,False,600,32.479999999999976,92,8.31972754466695,5.666666666666666,12.506819268784707
random,normal,3029,False,600,40.8,36,6.056651190979684,59.0,11.020674936457784
random,normal,3030,False,600,32.79999999999998,94,4.9303214857357975,9.0,9.03630997025802
random,normal,3031,False,600,34.24000000000002,118,8.554228640996485,31.666666666666664,16.98239784092619
random,normal,3032,False,600,48.0,1,5.584167813494473,39.33333333333333,9.546604597742553
random,normal,3033,False,600,43.20000000000003,50,6.873505294020836,45.666666666666664,17.602719303376496
random,normal,3034,False,600,44.64000000000002,15,10.367374290667694,31.833333333333336,14.429815516728763
random,normal,3035,False,600,44.639999999999986,24,7.702168319542992,28.833333333333332,12.752385930148094
random,normal,3036,False,600,40.00000000000001,48,5.372039861799942,20.5,7.520809469601122
random,normal,3037,False,600,43.83999999999999,11,5.532194151370264,38.0,6.24441058897726
random,normal,3038,False,600,41.59999999999998,54,15.958556986597578,52.666666666666664,16.462184476576013
random,normal,3039,False,600,38.400000000000006,47,6.6123934080354525,66.0,10.201703077478749
random,normal,3040,False,600,43.67999999999998,28,3.1370829236830824,57.166666666666664,4.054150938864581
random,normal,3041,False,600,44.16000000000002,20,9.790663102717712,48.66666666666667,11.33438366116506
random,normal,3042,False,600,40.480000000000025,28,14.321547592773411,72.16666666666667,14.21199106272298
random,normal,3043,False,600,41.76000000000002,16,14.079894867716389,13.833333333333334,11.747093157300732
random,normal,3044,False,600,41.28,45,5.933034083772474,21.666666666666668,17.506289837212826
random,normal,3045,False,600,34.08,94,4.169816111348153,0.0,10.333095617002122
random,normal,3046,False,600,47.51999999999999,17,11.227623055877043,40.666666666666664,13.115977314022103
random,normal,3047,False,600,36.31999999999999,75,8.043708237955943,14.166666666666666,12.301264713606791
random,normal,3048,False,600,38.71999999999998,51,8.334887051999402,29.333333333333332,11.958397833985757
random,normal,3049,False,600,39.519999999999996,53,5.529166793974542,68.66666666666667,7.4265283602256
moth,normal,3000,True,538,30.079999999999966,329,2.1884507669967,77.5092936802974,0.4015886325124001
moth,normal,3001,True,242,35.35999999999999,0,2.571432778555515,49.17355371900827,0.33141311238436444
moth,normal,3002,True,246,36.0,0,2.6228595985199092,50.40650406504065,0.3251385671153084
moth,normal,3003,True,238,34.72000000000003,0,2.545477602594366,49.159663865546214,0.4194427456040243
moth,normal,3004,False,600,28.47999999999987,396,6.0674328599122935,74.0,10.002391165344692
moth,normal,3005,True,272,35.20000000000002,31,2.5859380842651483,55.88235294117647,0.39966514504678796
moth,normal,3006,True,242,35.36000000000001,0,2.5911915022848935,49.586776859504134,0.4475696234532625
moth,normal,3007,True,261,35.67999999999999,17,2.614106908072898,53.25670498084292,0.41826444029961396
moth,normal,3008,True,242,35.36000000000001,0,2.5843574757871535,50.0,0.3662179077228478
moth,normal,3009,True,250,36.63999999999998,0,2.655402896073333,49.6,0.3298512326484001
moth,normal,3010,True,207,29.759999999999994,0,2.1814665351712397,41.06280193236715,0.4336125468338763
moth,normal,3011,True,297,43.35999999999993,0,3.175849349094246,47.81144781144781,0.4104674488384777
moth,normal,3012,False,600,20.319999999999997,452,4.977536761716699,79.5,9.988560842609754
moth,normal,3013,True,312,40.32000000000006,39,2.86063720264333,60.57692307692307,0.39567998544715777
moth,normal,3014,True,248,36.32000000000001,0,2.6351258201883474,50.0,0.33487397413859993
moth,normal,3015,True,242,35.36,0,2.5873781086659826,49.17355371900827,0.421326628980203
moth,normal,3016,True,335,49.440000000000026,0,3.5983061526744895,54.328358208955216,0.3294677912237001
moth,normal,3017,True,250,36.63999999999998,0,2.6765310074451585,51.6,0.4121391080640409
moth,normal,3018,True,211,30.399999999999967,0,2.2165781550592585,41.23222748815166,0.4040648835616117
moth,normal,3019,True,248,36.15999999999997,0,2.633199003419243,49.193548387096776,0.44717021054271205
moth,normal,3020,True,243,35.52000000000005,0,2.579013455902112,48.971193415637856,0.43639858731144304
moth,normal,3021,True,250,36.63999999999997,0,2.6465602352729207,50.8,0.33051363538489736
moth,normal,3022,True,341,51.20000000000002,0,3.741589935257915,63.929618768328446,0.4235713493050609
moth,normal,3023,True,239,34.88000000000001,0,2.5373200471565576,48.53556485355649,0.399516530709648
moth,normal,3024,True,279,41.279999999999944,0,3.03256579942389,56.272401433691755,0.4258556726934111
moth,normal,3025,False,600,29.43999999999999,388,6.2119903445739295,72.83333333333334,9.95942455898029
moth,normal,3026,True,384,50.07999999999997,44,3.6201943654187114,58.072916666666664,0.3623062488632987
moth,normal,3027,True,210,30.239999999999952,0,2.2042339543239526,41.904761904761905,0.3146394053729889
moth,normal,3028,True,306,44.479999999999976,0,3.228570411441442,46.07843137254902,0.36675425475853457
moth,normal,3029,True,212,30.560000000000002,0,2.1977014536049837,42.45283018867924,0.36296983103261427
moth,normal,3030,True,299,43.519999999999975,0,3.1890292037847225,47.82608695652174,0.40896633819433886
moth,normal,3031,False,600,23.67999999999997,431,3.1114670332300522,79.83333333333333,6.557224932555674
moth,normal,3032,True,242,35.35999999999996,0,2.5923694074086945,49.586776859504134,0.39872188326624236
moth,normal,3033,True,293,30.399999999999984,82,2.200456776557866,58.02047781569966,0.3670724071969939
moth,normal,3034,True,242,35.359999999999964,0,2.6013271994165224,50.0,0.4238216503200747
moth,normal,3035,True,265,39.04000000000004,0,2.8193014795759774,54.339622641509436,0.3827810915151519
moth,normal,3036,True,243,35.52000000000004,0,2.594319893002219,48.971193415637856,0.3202606042360655
moth,normal,3037,False,600,24.480000000000004,426,3.0371741663049754,79.5,6.535513862882184
moth,normal,3038,True,272,39.03999999999999,0,2.8052296302409805,39.338235294117645,0.3764036921063887
moth,normal,3039,True,242,35.35999999999997,0,2.570521676300388,48.760330578512395,0.3746581954003071
moth,normal,3040,True,245,35.83999999999996,0,2.620090611555761,50.61224489795918,0.42340835703199753
moth,normal,3041,True,305,36.160000000000046,58,2.641888001300054,60.32786885245902,0.330047928068836
moth,normal,3042,True,251,36.80000000000007,0,2.64397756706068,50.199203187250994,0.41211604265145724
moth,normal,3043,True,250,36.63999999999996,0,2.6723234069108845,50.4,0.37414521219162117
moth,normal,3044,False,600,23.839999999999986,430,3.1284458403740927,79.66666666666666,6.440903166479497
moth,normal,3045,True,207,29.92,0,2.1760946051155527,42.028985507246375,0.34532237783064496
moth,normal,3046,False,600,23.84000000000002,430,3.099442409871669,79.66666666666666,6.439801559454674
moth,normal,3047,False,600,23.840000000000003,430,3.141746622073425,79.5,6.510884616506243
moth,normal,3048,True,210,30.24000000000005,0,2.1428827979086162,41.904761904761905,0.4397113735050509
moth,normal,3049,True,211,30.39999999999997,0,2.203731856463531,41.23222748815166,0.3281231558323892
ppo_normal,normal,3000,True,104,15.04,0,1.096280739407189,49.03846153846153,0.41997136050005746
ppo_normal,normal,3001,True,122,16.8,0,1.1607217168521289,54.09836065573771,0.4316496433023883
ppo_normal,normal,3002,True,108,15.679999999999996,0,1.0874944340988586,55.55555555555556,0.4232874466488035
ppo_normal,normal,3003,True,116,15.840000000000007,0,1.096138566217663,54.310344827586206,0.44361042038068516
ppo_normal,normal,3004,True,130,16.00000000000001,0,1.1177510599934202,53.84615384615385,0.4356741159235483
ppo_normal,normal,3005,True,107,15.2,0,1.1120336440989789,54.20560747663551,0.36064137004231656
ppo_normal,normal,3006,True,119,16.799999999999997,0,1.1626985868801307,55.46218487394958,0.401563470345679
ppo_normal,normal,3007,True,183,25.44,0,1.8084050599675425,71.58469945355192,0.40400875567769345
ppo_normal,normal,3008,True,96,14.719999999999992,0,1.0483428525946554,48.95833333333333,0.44598721161476634
ppo_normal,normal,3009,True,119,16.96000000000001,0,1.1856859519800427,52.10084033613446,0.37655984295817174
ppo_normal,normal,3010,True,113,14.720000000000006,0,1.0613913986992192,50.442477876106196,0.3712505632603465
ppo_normal,normal,3011,True,126,16.160000000000004,0,1.1265001546898787,56.34920634920635,0.2995823880859791
ppo_normal,normal,3012,True,119,16.639999999999993,0,1.147046850610582,53.78151260504202,0.4360993873467171
ppo_normal,normal,3013,True,210,28.799999999999986,0,1.9831254323661243,72.85714285714285,0.4429966449232846
ppo_normal,normal,3014,True,113,15.520000000000017,0,1.0840291633702812,53.09734513274337,0.38234363406430466
ppo_normal,normal,3015,True,126,17.279999999999994,0,1.1897905661018273,53.96825396825397,0.4467877793405975
ppo_normal,normal,3016,True,110,15.680000000000007,0,1.0868535440752018,55.45454545454545,0.4203764538199024
ppo_normal,normal,3017,True,108,15.04000000000001,0,1.0745894816944446,52.77777777777778,0.41502336372571524
ppo_normal,normal,3018,True,131,16.320000000000018,0,1.1221793291834898,54.961832061068705,0.42988075218751437
ppo_normal,normal,3019,True,125,17.43999999999998,0,1.1978681377897191,55.2,0.44020104245478636
ppo_normal,normal,3020,True,111,16.320000000000018,0,1.1584953546466095,48.64864864864865,0.39980593862208963
ppo_normal,normal,3021,True,126,16.31999999999999,0,1.121382539350753,53.96825396825397,0.43343412500545836
ppo_normal,normal,3022,True,189,25.599999999999994,0,1.8644488920965576,71.42857142857143,0.33120807919920625
ppo_normal,normal,3023,True,213,28.799999999999997,0,1.983442281066366,71.83098591549296,0.4411921070015727
ppo_normal,normal,3024,True,105,15.520000000000003,0,1.087540975526252,53.333333333333336,0.4043627248328261
ppo_normal,normal,3025,True,131,15.839999999999998,0,1.0934139407815806,54.19847328244275,0.426191850527793
ppo_normal,normal,3026,True,135,16.159999999999997,0,1.1106206157100136,52.59259259259259,0.440662487815035
ppo_normal,normal,3027,True,112,15.680000000000001,0,1.1020290590500783,54.46428571428571,0.37984750412923685
ppo_normal,normal,3028,True,134,16.32000000000003,0,1.1428488834769441,53.73134328358209,0.4329228719967274
ppo_normal,normal,3029,True,103,15.200000000000024,0,1.0895759097792883,49.51456310679612,0.38596127788368095
ppo_normal,normal,3030,True,113,15.840000000000003,0,1.096902820356377,54.86725663716814,0.43012629854009016
ppo_normal,normal,3031,True,177,24.000000000000007,0,1.6769286143486306,70.62146892655367,0.40808161445680863
ppo_normal,normal,3032,True,111,15.840000000000003,0,1.1080553826479553,54.054054054054056,0.3734836603331504
ppo_normal,normal,3033,True,385,54.24,0,3.7742470540607207,87.01298701298701,0.4071444097004354
ppo_normal,normal,3034,True,105,15.360000000000012,0,1.0797573249723287,52.38095238095239,0.42920766903918633
ppo_normal,normal,3035,True,105,15.359999999999989,0,1.088738228817578,51.42857142857142,0.4001057548809893
ppo_normal,normal,3036,True,106,15.519999999999992,0,1.0829152135282756,52.83018867924528,0.3643359943987867
ppo_normal,normal,3037,True,209,29.12,0,2.034544233258313,73.20574162679426,0.35030817118898927
ppo_normal,normal,3038,True,127,16.159999999999986,0,1.1158525550935645,53.54330708661418,0.4120333856424321
ppo_normal,normal,3039,True,127,16.160000000000004,0,1.1151351044029558,55.118110236220474,0.374144924963862
ppo_normal,normal,3040,True,100,14.72,0,1.0589249990373586,48.0,0.3983261466968052
ppo_normal,normal,3041,True,113,16.000000000000004,0,1.1068743348949437,54.86725663716814,0.44877487059909393
ppo_normal,normal,3042,True,98,15.04,0,1.0610548001898996,52.04081632653062,0.43209231032719525
ppo_normal,normal,3043,True,163,21.12000000000002,0,1.5148636997750022,64.41717791411043,0.3214023385953476
ppo_normal,normal,3044,True,114,14.879999999999992,0,1.07863305715801,50.0,0.33612820755386164
ppo_normal,normal,3045,True,108,15.679999999999989,0,1.090993156814752,55.55555555555556,0.4297002977323646
ppo_normal,normal,3046,True,99,14.719999999999999,0,1.076966379992467,48.484848484848484,0.33811888372739846
ppo_normal,normal,3047,True,121,15.999999999999979,0,1.1102800648776838,54.54545454545454,0.34557705807305455
ppo_normal,normal,3048,True,107,15.519999999999996,0,1.0959497215738456,53.271028037383175,0.3269393421547069
ppo_normal,normal,3049,True,178,24.800000000000004,0,1.7126925183969264,69.10112359550563,0.3971723667267677
ppo_robust,normal,3000,True,258,34.88000000000001,0,2.4673540959235236,53.875968992248055,0.37573544874105586
ppo_robust,normal,3001,False,600,23.360000000000003,0,5.29181504044409,0.0,11.364661315508123
ppo_robust,normal,3002,True,143,21.599999999999987,0,1.5311768129727787,14.685314685314685,0.4177377885173121
ppo_robust,normal,3003,True,112,16.64000000000001,0,1.1519170487272807,49.107142857142854,0.4390080579922954
ppo_robust,normal,3004,True,107,16.16,0,1.1155432419492928,53.271028037383175,0.41586748601939955
ppo_robust,normal,3005,True,214,28.320000000000014,0,2.013266077098026,39.25233644859813,0.42760832744837485
ppo_robust,normal,3006,False,600,16.959999999999994,0,3.677037260518136,0.0,11.326644265585463
ppo_robust,normal,3007,True,264,35.519999999999975,0,2.574102554981179,46.590909090909086,0.363330967490239
ppo_robust,normal,3008,True,234,27.200000000000003,0,1.8910244940895269,77.77777777777779,0.4477216677963118
ppo_robust,normal,3009,False,600,14.400000000000015,0,3.3364177341948484,0.0,11.218958679799595
ppo_robust,normal,3010,True,100,15.040000000000006,0,1.092011677972277,49.0,0.43475015642511117
ppo_robust,normal,3011,True,107,16.0,0,1.1085667666305659,52.336448598130836,0.39556192798360645
ppo_robust,normal,3012,False,600,13.759999999999984,0,3.5093909556392795,0.0,11.549296107852873
ppo_robust,normal,3013,False,600,13.600000000000009,0,3.3060915868797562,0.0,11.432090963732813
ppo_robust,normal,3014,True,105,16.00000000000001,0,1.16560689398955,46.666666666666664,0.33174118864317786
ppo_robust,normal,3015,False,600,22.55999999999999,0,6.161559966728632,0.0,11.798456562988262
ppo_robust,normal,3016,True,110,16.31999999999999,0,1.13820944220377,51.81818181818182,0.39077776042179496
ppo_robust,normal,3017,True,137,21.12000000000001,0,1.4871139531237574,11.678832116788321,0.40153007007270936
ppo_robust,normal,3018,True,138,21.439999999999994,0,1.4983033313282301,10.869565217391305,0.4416716999152045
ppo_robust,normal,3019,False,600,4.159999999999998,0,1.1064762054736768,0.0,11.387304318349345
ppo_robust,normal,3020,True,328,38.23999999999996,0,2.7489464667452306,58.231707317073166,0.35846237733757563
ppo_robust,normal,3021,True,222,25.280000000000005,0,1.8183621743863718,77.02702702702703,0.29974910080975137
ppo_robust,normal,3022,True,137,21.119999999999997,0,1.45952605816529,13.86861313868613,0.42393607519751886
ppo_robust,normal,3023,False,600,13.44000000000001,0,3.5604363539968364,0.0,11.614227206422497
ppo_robust,normal,3024,True,104,15.999999999999984,0,1.1121551941921635,50.0,0.3916576043047186
