policy,observation_condition,physical_condition,seed,success,steps,path_length,collisions,tortuosity,actual_odor_detection_percentage,final_distance_to_source
ppo_normal,unmasked,normal,6000,True,140,16.959999999999997,0,1.1659693488898484,55.714285714285715,0.4355092807111566
ppo_normal,unmasked,normal,6001,True,168,24.0,0,1.6728729054716893,69.64285714285714,0.41476578226658284
ppo_normal,unmasked,normal,6002,True,108,15.679999999999994,0,1.087332738638355,53.70370370370371,0.4249642160513821
ppo_normal,unmasked,normal,6003,True,283,38.88000000000002,0,2.705203965235086,80.21201413427562,0.43475877571644284
ppo_normal,unmasked,normal,6004,True,132,16.319999999999972,0,1.1246223515194005,53.03030303030303,0.39071786477038206
ppo_normal,unmasked,normal,6005,True,218,28.96000000000002,0,2.0444669875559596,73.39449541284404,0.3536192908703552
ppo_normal,unmasked,normal,6006,True,134,15.99999999999999,0,1.1635360247534219,52.23880597014925,0.41012429097517905
ppo_normal,unmasked,normal,6007,True,201,28.160000000000018,0,1.9426572392642876,72.636815920398,0.3868857299860451
ppo_normal,unmasked,normal,6008,True,177,21.760000000000012,0,1.576949097188822,65.5367231638418,0.3474364538071627
ppo_normal,unmasked,normal,6009,True,114,16.639999999999993,0,1.199879691778311,50.877192982456144,0.39307778557735096
ppo_normal,unmasked,normal,6010,True,131,16.319999999999993,0,1.1226340715283207,53.43511450381679,0.4211172571520625
ppo_normal,unmasked,normal,6011,True,301,39.999999999999986,0,2.813537836433523,81.3953488372093,0.39034816059091687
ppo_normal,unmasked,normal,6012,True,182,25.920000000000005,0,1.8367800360182331,73.07692307692307,0.4176719796996864
ppo_normal,unmasked,normal,6013,True,104,14.879999999999999,0,1.068586825003407,51.92307692307693,0.36803310222454855
ppo_normal,unmasked,normal,6014,True,105,15.520000000000003,0,1.0803905099139823,53.333333333333336,0.4071061936791156
ppo_normal,unmasked,normal,6015,True,96,14.400000000000011,0,1.056349738287047,50.0,0.41404673386436586
ppo_normal,unmasked,normal,6016,True,118,15.04000000000002,0,1.0928974002271388,52.54237288135594,0.4180552238383966
ppo_normal,unmasked,normal,6017,True,273,35.04000000000002,0,2.5386027113030774,76.55677655677655,0.341826747227927
ppo_normal,unmasked,normal,6018,True,205,28.80000000000001,0,1.9930412330253229,73.17073170731707,0.408416338944746
ppo_normal,unmasked,normal,6019,True,119,16.640000000000015,0,1.195963898919784,53.78151260504202,0.33980530191057523
ppo_normal,unmasked,normal,6020,True,126,16.159999999999982,0,1.1212728088774766,54.761904761904766,0.35132110319862336
ppo_normal,unmasked,normal,6021,True,108,15.679999999999989,0,1.090656934358167,54.629629629629626,0.3914553987861711
ppo_normal,unmasked,normal,6022,True,196,27.360000000000007,0,1.9108573816606782,73.46938775510205,0.4354477063387808
ppo_normal,unmasked,normal,6023,True,108,15.840000000000003,0,1.1000023176635834,51.85185185185185,0.41650765484005164
ppo_normal,unmasked,normal,6024,True,114,16.799999999999994,0,1.1636477736011481,52.63157894736842,0.39999287957376833
ppo_normal,unmasked,normal,6025,True,120,16.80000000000001,0,1.1645980651607004,53.333333333333336,0.37781470974793224
ppo_normal,unmasked,normal,6026,True,119,16.960000000000008,0,1.1724379789426962,52.94117647058824,0.4262939069535241
ppo_normal,unmasked,normal,6027,True,122,15.360000000000014,0,1.081500689213254,51.63934426229508,0.4405797603850477
ppo_normal,unmasked,normal,6028,True,237,32.32,0,2.3300608412016275,75.52742616033755,0.42438006402881107
ppo_normal,unmasked,normal,6029,True,110,14.56,0,1.0628196170249689,50.0,0.3880578269808518
ppo_normal,unmasked,normal,6030,True,108,15.520000000000005,0,1.0863132083034177,54.629629629629626,0.39328437959789375
ppo_normal,unmasked,normal,6031,True,112,16.160000000000004,0,1.1254057705338503,54.46428571428571,0.33157840760268886
ppo_normal,unmasked,normal,6032,True,117,16.32,0,1.1344911324284632,55.55555555555556,0.4101786918248022
ppo_normal,unmasked,normal,6033,True,111,15.840000000000014,0,1.1036048985868512,53.153153153153156,0.3702681286946677
ppo_normal,unmasked,normal,6034,True,182,25.27999999999999,0,1.7744687141860334,70.32967032967034,0.3473260068914018
ppo_normal,unmasked,normal,6035,True,123,17.120000000000015,0,1.1858900874995886,53.65853658536586,0.3934766370269395
ppo_normal,unmasked,normal,6036,True,123,16.000000000000007,0,1.103732962095365,55.28455284552846,0.4380735770025715
ppo_normal,unmasked,normal,6037,True,114,16.160000000000007,0,1.1263587984700496,50.877192982456144,0.44223095047901817
ppo_normal,unmasked,normal,6038,True,118,16.960000000000008,0,1.1665383414098498,54.23728813559322,0.4474779283553429
ppo_normal,unmasked,normal,6039,True,199,26.72000000000001,0,1.8607041566201659,71.85929648241206,0.35862568769114306
ppo_normal,unmasked,normal,6040,True,200,26.239999999999995,0,1.8218511153345165,72.0,0.4398123247451528
ppo_normal,unmasked,normal,6041,True,122,15.680000000000005,0,1.0844451886595134,54.91803278688525,0.42902042209646024
ppo_normal,unmasked,normal,6042,True,125,16.159999999999993,0,1.1116726054226285,54.400000000000006,0.44355504307117244
ppo_normal,unmasked,normal,6043,True,106,15.52,0,1.0876422705018165,52.83018867924528,0.3475290558638673
ppo_normal,unmasked,normal,6044,True,119,16.639999999999983,0,1.1482558523146325,55.46218487394958,0.4261461654033919
ppo_normal,unmasked,normal,6045,True,118,16.8,0,1.1664933449973423,51.69491525423729,0.38166447577734125
ppo_normal,unmasked,normal,6046,True,137,16.79999999999999,0,1.1578965003361639,56.934306569343065,0.3967332908930932
ppo_normal,unmasked,normal,6047,True,115,15.520000000000028,0,1.0933945485995085,53.04347826086957,0.3661789486425111
ppo_normal,unmasked,normal,6048,True,106,15.52000000000001,0,1.1065551119940236,49.056603773584904,0.434094948845466
ppo_normal,unmasked,normal,6049,True,140,16.799999999999994,0,1.155898116483387,55.714285714285715,0.44278984864867205
ppo_normal,wind_blind,normal,6000,True,267,41.599999999999966,0,3.0159352893061886,46.06741573033708,0.3566795020569635
ppo_normal,wind_blind,normal,6001,True,327,50.24000000000003,0,3.652234941371971,62.99694189602446,0.44341766423138446
ppo_normal,wind_blind,normal,6002,True,236,36.960000000000036,0,2.5729428472539286,48.728813559322035,0.40997859870801484
ppo_normal,wind_blind,normal,6003,False,600,87.51999999999998,0,13.57348435206752,69.83333333333334,10.717953378029222
ppo_normal,wind_blind,normal,6004,False,600,80.95999999999997,0,51.48319474945433,44.166666666666664,15.344299581418573
ppo_normal,wind_blind,normal,6005,True,230,35.68000000000001,0,2.477352149687353,46.08695652173913,0.43125563868312944
ppo_normal,wind_blind,normal,6006,False,600,84.79999999999998,0,8.652084641785011,60.5,4.350784906596702
ppo_normal,wind_blind,normal,6007,False,600,88.48000000000006,1,30.674577827436845,77.83333333333333,11.731638914100918
ppo_normal,wind_blind,normal,6008,False,600,85.76000000000002,0,9.528238060783105,68.66666666666667,5.6052582236651105
ppo_normal,wind_blind,normal,6009,False,600,87.36000000000004,0,5.920111658897108,76.66666666666667,0.6446476448677569
ppo_normal,wind_blind,normal,6010,False,600,85.92000000000004,0,6.080184201142895,74.66666666666667,0.8450751323488462
ppo_normal,wind_blind,normal,6011,False,600,80.80000000000007,0,18.0742927652797,48.66666666666667,9.994131827826074
ppo_normal,wind_blind,normal,6012,True,496,75.19999999999996,0,5.50462626074111,73.99193548387096,0.42392290434400043
ppo_normal,wind_blind,normal,6013,True,226,35.52000000000004,0,2.5576844390783715,45.13274336283185,0.3490821504934057
ppo_normal,wind_blind,normal,6014,True,321,47.84,0,3.33466994472274,61.6822429906542,0.3454978030511836
ppo_normal,wind_blind,normal,6015,False,600,85.75999999999999,0,22.697099809610734,71.5,10.604289150590455
ppo_normal,wind_blind,normal,6016,False,600,87.19999999999999,2,56.66903404052413,79.0,12.9327334496713
ppo_normal,wind_blind,normal,6017,True,431,63.68000000000002,0,4.4454560894502775,65.89327146171694,0.38792878181023743
ppo_normal,wind_blind,normal,6018,False,600,91.84000000000005,0,20.455627023959256,79.0,10.361650884083652
ppo_normal,wind_blind,normal,6019,True,248,38.24000000000002,0,2.6500616493329225,48.79032258064516,0.42408649177422836
ppo_normal,wind_blind,normal,6020,False,600,89.76000000000005,0,31.13874845892323,79.5,13.092855524061157
ppo_normal,wind_blind,normal,6021,True,264,39.519999999999975,0,2.7450779997445753,53.03030303030303,0.4346141271413178
ppo_normal,wind_blind,normal,6022,True,231,35.999999999999986,0,2.5184298885218626,46.75324675324675,0.40012747436888196
ppo_normal,wind_blind,normal,6023,True,514,79.04000000000006,0,5.523882379835091,76.07003891050583,0.3931917810758807
ppo_normal,wind_blind,normal,6024,False,600,88.96,0,15.976714833386946,79.16666666666666,8.64759793346473
ppo_normal,wind_blind,normal,6025,False,600,82.24000000000001,0,8.769660374652561,47.833333333333336,4.757455708531891
ppo_normal,wind_blind,normal,6026,False,600,85.44,0,10.708757283293368,61.66666666666667,6.123156554678364
ppo_normal,wind_blind,normal,6027,False,600,79.36,0,18.079969360673704,64.16666666666667,10.585156118810465
ppo_normal,wind_blind,normal,6028,False,600,84.48000000000002,4,11.425849533536406,61.16666666666667,7.134659093895162
ppo_normal,wind_blind,normal,6029,False,600,91.52000000000001,0,55.47551266912843,78.83333333333333,15.59782098690325
ppo_normal,wind_blind,normal,6030,False,600,88.95999999999995,0,22.739115140963104,78.66666666666666,10.100863833352937
ppo_normal,wind_blind,normal,6031,False,600,91.04000000000002,0,16.93099023518388,77.66666666666666,9.228894227572502
ppo_normal,wind_blind,normal,6032,False,600,77.76,0,22.651148170348232,59.833333333333336,11.879991249390084
ppo_normal,wind_blind,normal,6033,True,230,35.84000000000003,0,2.4802930642481242,47.391304347826086,0.437067962600689
ppo_normal,wind_blind,normal,6034,True,303,46.08,0,3.1902501872381195,60.066006600660074,0.4272924296311306
ppo_normal,wind_blind,normal,6035,True,245,38.24000000000002,0,2.6488121801898905,46.93877551020408,0.4121733806669821
ppo_normal,wind_blind,normal,6036,True,425,62.07999999999996,0,4.30084647926888,68.94117647058823,0.37667787698992267
ppo_normal,wind_blind,normal,6037,True,393,59.040000000000006,0,4.072668714097017,66.92111959287533,0.44800762913503883
ppo_normal,wind_blind,normal,6038,True,232,36.48000000000003,0,2.614976568336952,45.258620689655174,0.44782122401265295
ppo_normal,wind_blind,normal,6039,True,365,56.0,0,4.093586940303757,64.38356164383562,0.4290289834737755
ppo_normal,wind_blind,normal,6040,True,337,48.96000000000001,0,3.426015742311884,58.45697329376854,0.44983684249825556
ppo_normal,wind_blind,normal,6041,True,592,90.23999999999998,0,6.564038572264978,79.22297297297297,0.31939681211862736
ppo_normal,wind_blind,normal,6042,True,508,74.08000000000003,0,5.17772213827512,71.65354330708661,0.4050749809485263
ppo_normal,wind_blind,normal,6043,True,264,39.999999999999986,0,2.917963796487202,53.03030303030303,0.3261669442589142
ppo_normal,wind_blind,normal,6044,False,600,91.52000000000001,0,14.934912327607652,78.66666666666666,8.819226172838745
ppo_normal,wind_blind,normal,6045,False,600,89.60000000000002,0,8.13310424018316,78.5,3.153849535936621
ppo_normal,wind_blind,normal,6046,False,600,78.56000000000006,0,80.90831717312307,51.66666666666667,14.625359379891231
ppo_normal,wind_blind,normal,6047,True,247,37.28,0,2.7057866145328875,49.392712550607285,0.3371633125786446
ppo_normal,wind_blind,normal,6048,True,497,75.84000000000006,0,5.261140850653559,75.45271629778671,0.41118280904143406
ppo_normal,wind_blind,normal,6049,False,600,55.36000000000003,11,9.387151171293466,76.16666666666667,8.779825622113314
ppo_normal,wind_rotated,normal,6000,False,600,5.439999999999996,0,1.8380571192183797,0.0,15.977262874438294
ppo_normal,wind_rotated,normal,6001,False,600,7.999999999999993,0,1.3253092426659951,0.0,11.448107085125823
ppo_normal,wind_rotated,normal,6002,False,600,6.880000000000011,0,1.5327487976700969,0.0,16.232417350252263
ppo_normal,wind_rotated,normal,6003,False,600,4.800000000000008,0,1.4973347008680218,0.0,16.153045593808343
ppo_normal,wind_rotated,normal,6004,False,600,4.959999999999994,0,1.5475490524725222,0.0,16.373522272449083
ppo_normal,wind_rotated,normal,6005,False,600,9.279999999999992,0,1.3311178541443807,0.0,11.345444607553153
ppo_normal,wind_rotated,normal,6006,False,600,3.8399999999999976,0,1.274277862860567,0.0,13.671842269542703
ppo_normal,wind_rotated,normal,6007,False,600,6.720000000000001,0,1.3052490122060925,0.0,11.364393624656268
ppo_normal,wind_rotated,normal,6008,False,600,4.000000000000003,0,1.2968553967868017,0.0,13.027424947036243
ppo_normal,wind_rotated,normal,6009,False,600,6.0799999999999965,0,1.3419772565780708,0.0,11.684824470093966
ppo_normal,wind_rotated,normal,6010,False,600,4.800000000000001,0,1.5697572136477538,0.0,16.252262269541976
ppo_normal,wind_rotated,normal,6011,False,600,5.599999999999999,0,1.1091895988517853,0.0,14.093506493692507
ppo_normal,wind_rotated,normal,6012,False,600,5.919999999999995,0,1.4618811350688476,0.0,16.184675905668012
ppo_normal,wind_rotated,normal,6013,False,600,5.919999999999996,0,1.40658668994211,0.0,15.388221086768066
ppo_normal,wind_rotated,normal,6014,False,600,6.080000000000002,0,1.373263795727475,0.0,15.924108427968488
ppo_normal,wind_rotated,normal,6015,False,600,6.560000000000005,0,1.2008481415236216,0.0,14.651947048186205
ppo_normal,wind_rotated,normal,6016,False,600,5.280000000000004,0,1.234504814397707,0.0,12.326843913883014
ppo_normal,wind_rotated,normal,6017,False,600,10.240000000000002,0,1.3010046243607118,0.0,11.539571879638988
ppo_normal,wind_rotated,normal,6018,False,600,7.199999999999999,0,1.1279585201468727,0.0,13.09519407858447
ppo_normal,wind_rotated,normal,6019,False,600,6.7200000000000095,0,1.2748252703296181,0.0,11.203715254909751
ppo_normal,wind_rotated,normal,6020,False,600,5.760000000000001,0,1.6219667175031915,0.0,16.196763652989823
ppo_normal,wind_rotated,normal,6021,False,600,8.479999999999997,0,1.3679808644292364,0.0,11.732936419257285
ppo_normal,wind_rotated,normal,6022,False,600,5.600000000000001,0,1.0236507074869146,0.0,14.362454620915218
ppo_normal,wind_rotated,normal,6023,False,600,4.800000000000001,0,1.2290287321169238,0.0,15.670935811308766
ppo_normal,wind_rotated,normal,6024,False,600,9.12,0,1.3740440120191848,0.0,16.426348039643198
ppo_normal,wind_rotated,normal,6025,False,600,7.1999999999999975,0,1.3289225948342371,0.0,11.250938100357017
ppo_normal,wind_rotated,normal,6026,False,600,9.759999999999998,0,1.531558453228159,0.0,16.08761067920432
ppo_normal,wind_rotated,normal,6027,False,600,7.359999999999999,0,1.173444952535104,0.0,14.774073398277194
ppo_normal,wind_rotated,normal,6028,False,600,6.719999999999997,0,1.0938057524725642,0.0,13.846452736426121
ppo_normal,wind_rotated,normal,6029,False,600,5.120000000000001,0,1.0337409840598906,0.0,14.559742103329269
