policy,observation_condition,physical_condition,seed,success,steps,path_length,collisions,tortuosity,actual_odor_detection_percentage,final_distance_to_source
ppo_normal,unmasked,normal,4000,True,108,15.68000000000001,0,1.0865985898010566,54.629629629629626,0.44241601186496543
ppo_normal,unmasked,normal,4001,True,193,26.40000000000002,0,1.84503166160125,73.05699481865285,0.3631134475548409
ppo_normal,unmasked,normal,4002,True,205,27.19999999999999,0,1.8719890800195755,72.1951219512195,0.4307974751356188
ppo_normal,unmasked,normal,4003,True,127,16.000000000000018,0,1.1114482914449872,54.330708661417326,0.42920653582636276
ppo_normal,unmasked,normal,4004,True,130,16.15999999999998,0,1.1223611029375218,55.38461538461539,0.410327306869541
ppo_normal,unmasked,normal,4005,True,111,15.999999999999998,0,1.1057350559499242,55.85585585585585,0.39580768758750057
ppo_normal,unmasked,normal,4006,True,330,44.640000000000015,0,3.267201504314855,84.54545454545455,0.42763447872122945
ppo_normal,unmasked,normal,4007,True,239,34.39999999999999,0,2.385032292789019,79.9163179916318,0.4286386653312851
ppo_normal,unmasked,normal,4008,True,107,15.519999999999992,0,1.0819949669568616,53.271028037383175,0.41537174724809617
ppo_normal,unmasked,normal,4009,True,129,15.999999999999995,0,1.1078145372837445,52.71317829457365,0.38356834695150993
ppo_normal,unmasked,normal,4010,True,123,15.680000000000009,0,1.085464064509078,53.65853658536586,0.4422483042233034
ppo_normal,unmasked,normal,4011,True,127,17.440000000000015,0,1.214445945201529,55.118110236220474,0.43295892828709037
ppo_normal,unmasked,normal,4012,True,98,14.88000000000001,0,1.0765140350868811,48.97959183673469,0.4205037766729238
ppo_normal,unmasked,normal,4013,True,101,15.200000000000001,0,1.0949695375432318,52.475247524752476,0.3074722597274757
ppo_normal,unmasked,normal,4014,True,109,15.519999999999992,0,1.0911280425465075,52.293577981651374,0.43464108937887935
ppo_normal,unmasked,normal,4015,True,118,16.799999999999986,0,1.1601595435634877,54.23728813559322,0.41584351331327785
ppo_normal,unmasked,normal,4016,True,137,16.479999999999986,0,1.1330851717241366,54.74452554744526,0.43490068528519005
ppo_normal,unmasked,normal,4017,True,103,15.19999999999998,0,1.0666090910326724,52.42718446601942,0.3908951723222594
ppo_normal,unmasked,normal,4018,True,216,31.04,0,2.1507380161959655,75.46296296296296,0.44130761190061146
ppo_normal,unmasked,normal,4019,True,108,15.680000000000003,0,1.093068237666248,54.629629629629626,0.3527639880980669
ppo_normal,unmasked,normal,4020,True,118,16.79999999999999,0,1.1583274816506643,55.08474576271186,0.4490213036810277
ppo_normal,unmasked,normal,4021,True,135,16.479999999999983,0,1.1380774987898716,55.55555555555556,0.37592428424774893
ppo_normal,unmasked,normal,4022,True,117,16.319999999999986,0,1.1329533176765978,54.700854700854705,0.39867768204749693
