policy,geometry_condition,observation_condition,seed,source_y,start_y,crosswind_separation,success,steps,path_length,collisions,tortuosity,actual_odor_detection_percentage,final_distance_to_source,crosswind_span,closest_crosswind_distance_to_source_lane,crossed_world_centerline
ppo_normal,shifted_aligned,unmasked,7000,3.0,2.5056156424470757,0.4943843575529243,True,99,14.879999999999999,0,1.0486079678405902,52.52525252525253,0.37274031362671567,1.664262748807789,0.0018810505013671097,False
ppo_normal,shifted_aligned,unmasked,7001,9.0,8.488568740895527,0.511431259104473,True,173,24.79999999999998,0,1.7206984393793914,72.83236994219652,0.4037637554768699,1.9269730611315605,0.003040909160040073,False
ppo_normal,shifted_aligned,unmasked,7002,3.0,3.4859141328750076,0.4859141328750076,True,103,15.360000000000035,0,1.0628724913102445,54.36893203883495,0.4447773421883455,1.2193443674626239,0.02524929938285725,False
ppo_normal,shifted_aligned,unmasked,7003,9.0,9.559592392134839,0.5595923921348387,True,101,15.199999999999992,0,1.0529897044745353,53.46534653465347,0.43052936635293293,0.8877010026809806,0.05151346248845812,False
ppo_normal,shifted_aligned,unmasked,7004,3.0,2.9996715891512062,0.0003284108487937587,True,103,15.520000000000008,0,1.0755206916209556,55.33980582524271,0.4441488002672404,1.15685857768618,0.0003284108487937587,False
ppo_normal,shifted_aligned,unmasked,7005,9.0,9.946919461535673,0.9469194615356731,True,100,15.04,0,1.0483435541785286,54.0,0.3376608470903484,0.8440017903286474,0.10291767120702566,False
ppo_normal,shifted_aligned,unmasked,7006,3.0,3.8921794349441514,0.8921794349441514,True,99,15.040000000000013,0,1.0484167658774097,52.52525252525253,0.4026154685687784,0.8948173143779878,0.23040904791421868,False
ppo_normal,shifted_aligned,unmasked,7007,9.0,8.320475493573628,0.6795245064263717,True,349,51.68000000000005,0,3.761590811083394,86.81948424068769,0.34981116051186156,2.5063127980774933,0.008966221806028685,False
ppo_normal,shifted_aligned,unmasked,7008,3.0,2.2308784847811634,0.7691215152188366,True,101,15.20000000000002,0,1.0541719030420955,54.45544554455446,0.3979354260778995,1.598865321722053,0.016305475111147327,False
ppo_normal,shifted_aligned,unmasked,7009,9.0,8.706379400030523,0.2936205999694774,True,351,53.92000000000006,0,3.870472004439836,86.03988603988604,0.40979477658622204,3.877539714628382,0.001480078652020822,False
ppo_normal,shifted_aligned,unmasked,7010,3.0,3.1743716254537384,0.1743716254537384,True,103,15.360000000000017,0,1.06304147178079,52.42718446601942,0.44884690770623703,1.1537447174825632,0.022064154874206654,False
ppo_normal,shifted_aligned,unmasked,7011,9.0,8.287036028550034,0.712963971449966,True,329,49.75999999999999,0,3.6563631492068516,86.01823708206688,0.4200316273823974,2.7872401938008435,0.005709437851221466,False
ppo_normal,shifted_aligned,unmasked,7012,3.0,3.1561629960952047,0.15616299609520468,True,106,15.84000000000001,0,1.1078783149858418,54.71698113207547,0.3909836153087925,1.1407153962652723,0.038741783693684084,False
ppo_normal,shifted_aligned,unmasked,7013,9.0,9.962301683929224,0.9623016839292244,True,102,15.040000000000017,0,1.0447776815634329,53.92156862745098,0.4083985645450171,0.8847978285690701,0.16554758572168105,False
ppo_normal,shifted_aligned,unmasked,7014,3.0,2.2212231562360607,0.7787768437639393,True,101,15.04000000000001,0,1.0438813904256126,54.45544554455446,0.4008871734824223,1.355363045753942,0.0031021784955793663,False
ppo_normal,shifted_aligned,unmasked,7015,9.0,8.286435122177638,0.7135648778223622,True,91,14.240000000000034,0,1.0289714330507491,48.35164835164835,0.4130546744896917,1.4279372112947364,0.034146293646395875,False
ppo_normal,shifted_aligned,unmasked,7016,3.0,2.5428162143107054,0.45718378568929463,True,88,13.920000000000012,0,1.0084507505226241,47.72727272727273,0.4363951155296875,0.8450253245850048,0.014131538207093008,False
ppo_normal,shifted_aligned,unmasked,7017,9.0,9.355578917301692,0.3555789173016919,True,289,44.160000000000025,0,3.184497882020017,84.08304498269896,0.4211455030315253,3.678961910674415,0.019351593132286737,False
ppo_normal,shifted_aligned,unmasked,7018,3.0,3.9445586208771912,0.9445586208771912,True,537,79.67999999999995,0,5.5847700389923,90.31657355679702,0.4282455433198833,3.4429125034914954,0.014888433009919488,False
ppo_normal,shifted_aligned,unmasked,7019,9.0,9.698043753038288,0.6980437530382879,True,91,13.919999999999972,0,1.0128427590855327,48.35164835164835,0.34635357815974166,0.6446736380438605,0.2233663440339928,False
ppo_normal,shifted_aligned,unmasked,7020,3.0,2.3365485839452704,0.6634514160547296,True,99,15.040000000000006,0,1.0484649294309358,52.52525252525253,0.3978423008081926,1.5662130579329125,0.003602151739628301,False
