time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/learning_rate,rollout/ep_rew_mean,train/loss,rollout/success_rate,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
6733,0,1,2048,,,,,,,,,,,,,,,,
5585,0,2,4096,10,-1.7864973649382592,0.070458984375,0.00975221,0.6892110846936703,600.0,0.1935497522354126,0.2,0.0003,-22.280956749999998,0.23333442211151123,0.0,-0.014346551010385155,,,
5472,1,3,6144,20,-1.7705305114388465,0.098974609375,0.010454259,0.3933490727096796,600.0,0.5458869934082031,0.2,0.0003,-14.554739624999998,0.11576403677463531,0.0,-0.01961507450323552,,,
5405,1,4,8192,30,-1.7505650267004966,0.098876953125,0.010535925,0.3074047727510333,597.25,0.5231620073318481,0.2,0.0003,-5.8919032499999995,0.1311449408531189,0.08333333333333333,-0.016984835983021185,,,
,,,10000,40,-1.7371675044298172,0.023828125,0.004807402,11.250758232176304,,0.05879777669906616,0.2,0.0003,,6.17268705368042,,-0.005034510447876528,0.2572206,600.0,0.0
3290,3,5,10240,,,,,,585.6875,,,,-0.7355594374999992,,0.125,,,,
3504,3,6,12288,50,-1.7533059269189835,0.016650390625,0.0054217824,10.25669656097889,569.75,0.17155969142913818,0.2,0.0003,7.826717450000001,3.7475147247314453,0.25,-0.00496858888072893,,,
3675,3,7,14336,60,-1.7544607385993003,0.00595703125,0.002647935,29.272729563713074,555.4782608695652,0.10276031494140625,0.2,0.0003,11.870141304347827,9.54373836517334,0.30434782608695654,-0.0024075108405668287,,,
3782,4,8,16384,70,-1.7485016718506814,0.030810546875,0.0047002076,18.212588304281233,559.2962962962963,0.2990713119506836,0.2,0.0003,12.069813,13.631744384765625,0.2962962962962963,-0.004353934616665356,,,
3900,4,9,18432,80,-1.7444725260138512,0.00458984375,0.0029477072,11.917304342985153,564.5483870967741,0.1553468108177185,0.2,0.0003,10.647094774193548,9.868708610534668,0.25806451612903225,-0.002427234224160202,,,
,,,20000,90,-1.730479009449482,0.0720703125,0.009362961,1.2453955605626106,,0.5896379947662354,0.2,0.0003,,0.4167861044406891,,-0.010622625926043839,0.695838,600.0,0.0
3237,6,10,20480,,,,,,567.6764705882352,,,,9.931407029411764,,0.23529411764705882,,,,
3355,6,11,22528,100,-1.720990002155304,0.10458984375,0.010024445,0.5754171002656221,562.0526315789474,0.5680789947509766,0.2,0.0003,10.553198342105262,0.25594279170036316,0.23684210526315788,-0.012601705576526002,,,
3458,7,12,24576,110,-1.6981726258993148,0.05419921875,0.01019419,9.492126561701298,565.6666666666666,0.22723448276519775,0.2,0.0003,9.817396095238095,4.819891929626465,0.21428571428571427,-0.007564920902950689,,,
3548,7,13,26624,120,-1.7003442913293838,0.121044921875,0.012971342,0.5276537958532572,566.5652173913044,0.5111024975776672,0.2,0.0003,10.306765652173913,0.16287115216255188,0.21739130434782608,-0.012904892035294324,,,
3630,7,14,28672,130,-1.6913783088326455,0.067236328125,0.007888446,10.150211460888386,563.6530612244898,0.11386144161224365,0.2,0.0003,11.98727187755102,5.481847286224365,0.24489795918367346,-0.007499824994010851,,,
,,,30000,140,-1.6818365544080733,0.009814453125,0.0054585817,19.448181515932085,,0.0701369047164917,0.2,0.0003,,14.496522903442383,,-0.004236224017222412,-0.3195798,600.0,0.0
3237,9,15,30720,,,,,,560.3653846153846,,,,12.436509730769227,,0.25,,,,
3313,9,16,32768,150,-1.6709389984607697,0.018603515625,0.004343543,9.2025192335248,563.1964285714286,0.26576530933380127,0.2,0.0003,11.720132089285714,2.9202942848205566,0.23214285714285715,-0.0035854923480656,,,
3385,10,17,34816,160,-1.652540135383606,0.16142578125,0.014546672,0.6040671888738871,558.85,0.3966049551963806,0.2,0.0003,12.001798666666668,0.25380125641822815,0.23333333333333334,-0.021218950452748686,,,
3452,10,18,36864,170,-1.6448626205325128,0.040380859375,0.0070550274,8.93071444630623,554.578125,0.2530786395072937,0.2,0.0003,13.126368687500001,4.527370452880859,0.25,-0.0061662973603233695,,,
3515,11,19,38912,180,-1.650997991859913,0.035595703125,0.006599363,17.595470851659776,543.1857142857143,0.19948607683181763,0.2,0.0003,16.108825699999997,8.167229652404785,0.3,-0.007822467014193535,,,
,,,40000,190,-1.6369566008448602,0.0236328125,0.0049756356,39.13763140439987,,0.2020508050918579,0.2,0.0003,,15.685554504394531,,-0.005056973721366376,8.215272,552.0,0.1
3243,12,20,40960,,,,,,537.8513513513514,,,,17.522478121621624,,0.32432432432432434,,,,
3301,13,21,43008,200,-1.641695387661457,0.03779296875,0.008066891,22.786540234088896,541.0384615384615,0.33389168977737427,0.2,0.0003,16.580096923076923,16.694368362426758,0.3076923076923077,-0.0065546873433049765,,,
3356,13,22,45056,210,-1.6627009078860282,0.050048828125,0.010850566,1.9211828857660294,543.2222222222222,0.6419680118560791,0.2,0.0003,16.020763691358024,0.8638359904289246,0.2962962962962963,-0.007622556699789129,,,
